"time","Body1.wconn.F_exc"
0,0
0.1,12.37678899181175
0.2,45.94931933612575
0.3,94.46306635879702
0.4,150.580923399597
0.5,206.0803212974909
0.6,252.0721255820599
0.7,279.2373706282603
0.8,278.0775716974564
0.9,239.1741013965157
1,153.4519305297256
1.1,12.44291755107879
1.2,-191.4562121429735
1.3,-464.7360249945191
1.4,-812.5413993830584
1.5,-1238.45795279094
1.6,-1744.322173461609
1.7,-2330.059237806764
1.8,-2993.55211471957
1.9,-3730.545118746403
2,-4534.584581416438
2.1,-5396.998770356185
2.2,-6306.918606250196
2.3,-7251.340115970327
2.4,-8215.228924517267
2.5,-9181.66643743715
2.6,-10132.03670801601
2.7,-11046.25232892919
2.8,-11903.01704530317
2.9,-12680.12216444517
3,-13354.77324576634
3.1,-13903.94300130539
3.2,-14304.74583100831
3.3,-14534.82896526653
3.4,-14572.7747972601
3.5,-14398.50866579674
3.6,-13993.70610115735
3.7,-13342.19337663972
3.8,-12430.33512077741
3.9,-11247.4027422983
4,-9785.917503431192
4.1,-8041.962247708636
4.2,-6015.456045372212
4.3,-3710.386361157743
4.4,-1134.993772790844
4.5,1698.095229971044
4.6,4771.791261456949
4.7,8064.524125675227
4.8,11550.28652434693
4.9,15198.74118690359
5,18975.39242509806
5.1,22841.8222839421
5.2,26755.99060564561
5.3,30672.597454551
5.4,34543.50547953259
5.5,38318.21892702013
5.6,41944.41517385443
5.7,45368.52383569865
5.8,48536.34773467668
5.9,51393.71928990719
6,53887.18523686378
6.1,55964.71199564399
6.2,57576.40350318898
6.3,58675.22290839783
6.4,59217.70920907427
6.5,59164.67969191771
6.6,58481.90892631862
6.7,57140.77506338939
6.8,55118.8643060034
6.9,52400.52464486501
7,48977.36029967652
7.1,44848.65876179202
7.2,40021.7429024855
7.3,34512.24128482398
7.4,28344.27059154
7.5,21550.52494930294
7.6,14172.26788323777
7.7,6259.223665091159
7.8,-2130.634086333783
7.9,-10931.39754436969
8,-20069.64335372898
8.1,-29464.95342979818
8.199999999999999,-39030.53522220052
8.300000000000001,-48673.93754980742
8.4,-58297.85689044285
8.5,-67801.02781222267
8.6,-77079.19007927559
8.699999999999999,-86026.12386682976
8.800000000000001,-94534.74349323349
