"time","Reg1.wconn.F_exc"
0,0
0.1,12.376788991811745
0.2,45.94931933612575
0.3,94.46306635879702
0.4,150.58092339959703
0.5,206.08032129749088
0.6,252.07212558205987
0.7,279.2373706282603
0.8,278.0775716974564
0.9,239.17410139651574
1,153.45193052972562
1.1,12.44291755107879
1.2,-191.45621214297347
1.3,-464.73602499451914
1.4,-812.5413993830584
1.5,-1238.4579527909405
1.6,-1744.3221734616086
1.7,-2330.059237806764
1.8,-2993.5521147195695
1.9,-3730.5451187464027
2,-4534.584581416438
2.1,-5396.998770356186
2.2,-6306.918606250196
2.3,-7251.340115970327
2.4,-8215.228924517267
2.5,-9181.66643743715
2.6,-10132.036708016007
2.7,-11046.252328929186
2.8,-11903.01704530317
2.9,-12680.122164445167
3,-13354.773245766342
3.1,-13903.943001305388
3.2,-14304.745831008308
3.3,-14534.828965266532
3.4,-14572.774797260101
3.5,-14398.508665796744
3.6,-13993.706101157353
3.7,-13342.19337663972
3.8,-12430.335120777407
3.9,-11247.402742298298
4,-9785.917503431192
4.1,-8041.962247708636
4.2,-6015.45604537221
4.3,-3710.3863611577426
4.4,-1134.9937727908437
4.5,1698.0952299710439
4.6,4771.791261456949
4.7,8064.524125675227
4.8,11550.28652434693
4.9,15198.741186903586
5,18975.39242509806
5.1,22841.822283942096
5.2,26755.990605645613
5.3,30672.597454550996
5.4,34543.50547953259
5.5,38318.21892702013
5.6,41944.41517385443
5.7,45368.52383569865
5.8,48536.34773467668
5.9,51393.71928990711
6,53887.18523686378
6.1,55964.711995643986
6.2,57576.40350318898
6.3,58675.22290839783
6.4,59217.70920907427
6.5,59164.679691917714
6.6,58481.90892631862
6.7,57140.77506338939
6.8,55118.8643060034
6.9,52400.524644865014
7,48977.36029967654
7.1,44848.658761792016
7.2,40021.7429024855
7.3,34512.24128482398
7.4,28344.270591539997
7.5,21550.524949302944
7.6,14172.267883237766
7.7,6259.223665091159
7.8,-2130.634086333783
7.9,-10931.397544369689
8,-20069.64335372898
8.1,-29464.953429798185
8.2,-39030.535222200524
8.3,-48673.93754980742
8.4,-58297.856890442854
8.5,-67801.02781222267
8.6,-77079.19007927553
8.7,-86026.12386682976
8.8,-94534.74349323349
8.9,-102498.23913284247
9,-109811.25512658521
9.1,-116371.09276825945
9.2,-122078.92482516098
9.3,-126841.00856119327
9.4,-130569.88367767696
9.5,-133185.54137874892
9.6,-134616.55071011477
9.7,-134801.12841603122
9.8,-133688.13881209015
9.9,-131238.01058134023
10,-127423.55796738085
10.1,-122230.69455747119
10.2,-115659.02871675392
10.3,-107722.33074502902
10.4,-98448.8629720386
10.5,-87881.56527618913
10.6,-76078.08989374834
10.7,-63110.680867999734
10.8,-49065.895056504865
10.9,-34044.16325411238
11,-18159.191683224384
11.1,-1537.2058337293126
11.2,15683.95961521321
11.3,33355.91930932461
11.4,51320.936955881756
11.5,69413.25737629092
11.6,87460.56033189078
11.7,105285.52402033526
11.8,122707.48467441626
11.9,139544.17734196558
12,155613.5417014221
12.1,170735.57568855438
12.2,184734.21879029428
12.3,197439.2461147277
12.4,208688.153783558
12.5,218328.01582452067
12.6,226217.29257416105
12.7,232227.570641932
12.8,236245.21473845796
12.9,238172.9121356065
13,237931.0912030309
13.1,235459.1963521431
13.2,230716.80280882382
13.3,223684.55592311235
13.4,214364.92119792418
13.5,202782.73286769495
13.6,188985.530667845
13.7,173043.6763912301
13.8,155050.24391065034
13.9,135120.67853769954
14,113392.22386696332
14.1,90023.11659872743
14.2,65191.552219792255
14.3,39094.42682668254
14.4,11945.862773914117
14.5,-16024.471802995919
14.6,-44573.23722943073
14.7,-73445.47570886352
14.8,-102376.82720223075
14.9,-131095.88906263604
15,-159326.69887734673
15.1,-186791.31830215844
15.2,-213212.4942009089
15.3,-238316.37214380124
15.4,-261835.2362890008
15.5,-283510.2488873077
15.6,-303094.1621219754
15.7,-320353.974734833
15.8,-335073.5059031835
15.9,-347055.8591240677
16,-356125.7494354031
16.1,-362131.6681561312
16.2,-364947.86045612
16.3,-364476.0924643861
16.4,-360647.1862816353
16.5,-353422.3031678823
16.6,-342793.9573128001
16.7,-328786.74494789
16.8,-311457.7761052825
16.9,-290896.7990456959
17,-267226.01024304563
17.1,-240599.54579925153
17.2,-211202.6532416273
17.3,-179250.54579765737
17.4,-144986.9444172933
17.5,-108682.31598989494
17.6,-70631.81934977333
17.7,-31152.97374896449
17.8,9416.932533538024
17.9,50723.672911523834
18,92399.12929662864
18.1,134064.52922115024
18.2,175333.84520105692
18.3,215817.32619121388
18.4,255125.12917891788
18.5,292871.0174420454
18.6,328676.09078414587
18.7,362172.51216735505
18.8,393007.19460880506
18.9,420845.4119977906
19,445374.29763684527
19.1,466306.1948135126
19.2,483381.8245718984
19.3,496373.23707025615
19.4,505086.51447661663
19.5,509364.19525817054
19.6,509087.39194802335
19.7,504177.5770078931
19.8,494598.01422663615
19.9,480354.81617868616
20,461497.61158690864
20.1,438119.8099617788
20.2,410358.4545914914
20.3,378393.65880170284
20.4,342447.62435349677
20.5,302783.2448663301
20.6,259702.3012012365
20.7,213543.25977860848
20.8,164678.6887954691
20.9,113512.31120900987
21,60475.71712742689
21.1,6024.7618568926055
21.2,-49364.320742452124
21.3,-105199.0567743882
21.4,-160975.08699065118
21.5,-216180.69934864398
21.6,-270301.49889994774
21.7,-322825.1725778862
21.8,-373246.3049472378
21.9,-421071.199878125
22,-465822.6624245533
22.1,-507044.6949382998
22.2,-544307.0616387187
22.3,-577209.6764923648
22.4,-605386.7703324761
22.5,-628510.7946627534
22.6,-646296.0215329791
22.7,-658501.8012327502
22.8,-664935.4423060721
22.9,-665454.6815221213
23,-659969.714920543
23.1,-648444.7648537736
23.2,-630899.1620412898
23.3,-607407.9259954727
23.4,-578101.8317369316
23.5,-543166.9554474585
23.6,-502843.6965676377
23.7,-457425.2787883433
23.8,-407255.73736424686
23.9,-352727.4051458041
24,-294277.9146356406
24.1,-232386.73817864447
24.2,-167571.2930442023
24.3,-100382.64260833102
24.4,-31400.829047254796
24.5,38770.12313036866
24.6,109507.48979889491
24.7,180175.370045816
24.8,250130.40016646628
24.9,318727.60748946236
25,385326.3507768696
25.1,449296.29250503675
25.2,510023.3473982687
25.3,566915.551171322
25.4,619408.793548601
25.5,666972.3602718967
25.6,709114.2299844138
25.7,745386.0735809727
25.8,775387.9058321025
25.9,798772.3418072957
26,815248.4138196711
26.1,824584.9082648075
26.2,826613.1858007808
26.3,821229.4527799024
26.4,808396.4566567796
26.5,788144.5832199639
26.6,760572.3388799157
26.7,725846.2068457485
26.8,684199.8717861947
26.9,635932.8134432157
27,581408.2755950585
27.1,521050.6226934848
27.2,455342.1023712277
27.3,384819.03777393117
27.4,310067.4792606627
27.5,231718.35038311195
27.6,150442.12814391433
27.7,66943.10229696208
27.8,-18046.737159812223
27.9,-103774.13118207254
28,-189471.24494515816
28.1,-274362.56355137454
28.2,-357671.9280785148
28.3,-438629.64795786596
28.4,-516479.6243419531
28.5,-590486.4183967401
28.6,-659942.1983410099
28.7,-724173.4995652186
28.8,-782547.7332925884
28.9,-834479.3809925411
29,-879435.8141090332
29.1,-916942.6816073245
29.2,-946588.8113496248
29.3,-968030.5753545092
29.4,-980995.6735437979
29.5,-985286.2955949191
29.6,-980781.6259534636
29.7,-967439.6628720677
29.8,-945298.3284762014
29.9,-914475.8532600686
30,-875170.425028231
30.1,-827659.0990607374
30.2,-772295.97312849
30.3,-709509.6378581729
30.4,-639799.9197773506
30.5,-563733.9410961092
