"time","wconn.F_exc"
0,0
0.05,3.1951920903542916
0.1,12.376788991811745
0.15,26.876976372671933
0.2,45.94931933612575
0.25,68.77393143857195
0.3,94.46306635879702
0.35,122.06710678518388
0.4,150.58092339959703
0.45,178.95057524643144
0.5,206.08032129749088
0.55,230.83991165417066
0.6,252.07212558205987
0.65,268.6005224475314
0.7,279.2373706282603
0.75,282.79171860333923
0.8,278.0775716974564
0.85,263.9221373586997
0.9,239.17410139651574
0.95,202.71189729250577
1,153.45193052972562
1.05,90.3567198600787
1.1,12.44291755107879
1.15,-81.210829082081
1.2,-191.45621214297347
1.25,-319.0678303495846
1.3,-464.73602499451914
1.35,-629.0600198697596
1.4,-812.5413993830584
1.45,-1015.5779579855538
1.5,-1238.4579527909405
1.55,-1481.3547899009807
1.6,-1744.3221734616086
1.65,-2027.2897448669746
1.7,-2330.059237806764
1.75,-2652.3011730241283
1.8,-2993.5521147195695
1.85,-3353.212508511234
1.9,-3730.5451187464027
1.95,-4124.674080761276
2,-4534.584581416438
2.05,-4959.12317889543
2.1,-5396.998770356186
2.15,-5846.784213577564
2.2,-6306.918606250196
2.25,-6775.710224036532
2.3,-7251.340115970327
2.35,-7731.866353202662
2.4,-8215.228924517267
2.45,-8699.255269470592
2.5,-9181.66643743715
2.55,-9660.083858302254
2.6,-10132.036708016007
2.65,-10594.969849746374
2.7,-11046.252328929186
2.75,-11483.186398128308
2.8,-11903.01704530317
2.85,-12302.941996828236
2.9,-12680.122164445167
2.95,-13031.692503240507
3,-13354.773245766342
3.05,-13646.481475528431
3.1,-13903.943001305388
3.15,-14124.304492101184
3.2,-14304.745831008308
3.25,-14442.492644857202
3.3,-14534.828965266532
3.35,-14579.109975587557
3.4,-14572.774797260101
3.45,-14513.359268278718
3.5,-14398.508665796744
3.55,-14225.990324389903
3.6,-13993.706101157353
3.65,-13699.704638653999
3.7,-13342.19337663972
3.75,-12919.55026378161
3.8,-12430.335120777407
3.85,-11873.300606857849
3.9,-11247.402742298298
3.95,-10551.81094040295
4,-9785.917503431192
4.05,-8949.34653810972
4.1,-8041.962247708636
4.15,-7063.876559162404
4.2,-6015.45604537221
4.25,-4897.32810464121
4.3,-3710.3863611577426
4.35,-2455.7952525505825
4.4,-1134.9937727908437
4.45,250.30165890079672
4.5,1698.0952299710439
4.55,3206.1106914702773
4.6,4771.791261456949
4.65,6392.300493464693
4.7,8064.524125675227
4.75,9785.072923399617
4.8,11550.28652434693
4.85,13356.238292967939
4.9,15198.741186903586
4.95,17073.354635262294
5,18975.39242509806
5.05,20899.93158908038
5.1,22841.822283942096
5.15,24795.69864587734
5.2,26755.990605645613
5.25,28716.936642735007
5.3,30672.597454550996
5.35,32616.87051325086
5.4,34543.50547953259
5.45,36446.12043943527
5.5,38318.21892702013
5.55,40153.207692686745
5.6,41944.41517385443
5.65,43685.11062181037
5.7,45368.52383569865
5.75,46987.86545192633
5.8,48536.34773467668
5.85,50007.20581078141
5.9,51393.71928990711
5.95,52689.234208863054
6,53887.18523686378
6.05,54981.11807676227
6.1,55964.711995643986
6.15,56831.80241671736
6.2,57576.40350318898
6.25,58192.73066374291
6.3,58675.22290839783
6.35,59018.56498286239
6.4,59217.70920907427
6.45,59267.89695939429
6.5,59164.679691917714
6.55,58903.939474599094
6.6,58481.90892631862
6.65,57895.19050370205
6.7,57140.77506338939
6.75,56216.05963057748
6.8,55118.8643060034
6.85,53847.44824510175
6.9,52400.524644865014
6.95,50777.27467593396
7,48977.36029967654
7.05,47000.93591243846
7.1,44848.658761792016
7.15,42521.69808244197
7.2,40021.7429024855
7.25,37351.00847393605
7.3,34512.24128482398
7.35,31508.722613754784
7.4,28344.270591539997
7.45,25023.240738404536
7.5,21550.524949302944
7.55,17931.548904047733
7.6,14172.267883237766
7.65,10279.160975378834
7.7,6259.223665091159
7.75,2119.958796886143
7.8,-2130.634086333783
7.85,-6484.071026172217
7.9,-10931.397544369689
7.95,-15463.204137688093
8,-20069.64335372898
8.05,-24740.448424512277
8.1,-29464.953429798185
8.15,-34232.11495730827
8.2,-39030.535222200524
8.25,-43848.48660341511
8.3,-48673.93754980742
8.35,-53494.57980438648
8.4,-58297.856890442854
8.45,-63070.993798937816
8.5,-67801.02781222267
8.55,-72474.84039498164
8.6,-77079.19007927553
8.65,-81600.74626668027
8.7,-86026.12386682976
8.75,-90341.91868814739
8.8,-94534.74349323349
8.85,-98591.26462826169
8.9,-102498.23913284247
8.95,-106242.55223413672
9,-109811.25512658521
9.05,-113191.60293642638
9.1,-116371.09276825945
9.15,-119337.5017292462
9.2,-122078.92482516098
9.25,-124583.81262139467
9.3,-126841.00856119327
9.35,-128839.78583289353
9.4,-130569.88367767696
9.45,-132021.54302943978
9.5,-133185.54137874892
9.55,-134053.22675352858
9.6,-134616.55071011477
9.65,-134868.10022960466
9.7,-134801.12841603122
9.75,-134409.58389480753
9.8,-133688.13881209015
9.85,-132632.21533823642
9.9,-131238.01058134023
9.95,-129502.519819938
10,-127423.55796738085
10.05,-124999.77918403989
10.1,-122230.69455747119
10.15,-119116.6877748852
10.2,-115659.02871675392
10.25,-111859.88490510406
10.3,-107722.33074502902
10.35,-103250.35450313182
10.4,-98448.8629720386
10.45,-93323.68377572182
10.5,-87881.56527618913
10.55,-82130.17404806576
10.6,-76078.08989374834
10.65,-69734.79837808867
10.7,-63110.680867999734
10.75,-56217.002068891794
10.8,-49065.895056504865
10.85,-41670.343809392114
10.9,-34044.16325411238
10.95,-26201.97684199782
11,-18159.191683224384
11.05,-9931.97127077318
11.1,-1537.2058337293126
11.15,7007.519633818666
11.2,15683.95961521321
11.25,24473.244525242953
11.3,33355.91930932461
11.35,42311.98411492426
11.4,51320.936955881756
11.45,60361.8182840137
11.5,69413.25737629092
11.55,78453.52043991207
11.6,87460.56033189078
11.65,96412.06778421279
11.7,105285.52402033526
11.75,114058.25464373469
11.8,122707.48467441626
11.85,131210.39460477373
11.9,139544.17734196558
11.95,147686.09590003497
12,155613.5417014221
12.05,163304.09334421044
12.1,170735.57568855438
12.15,177886.11911313457
12.2,184734.21879029428
12.25,191258.7938266768
12.3,197439.2461147277
12.35,203255.5187393775
12.4,208688.153783558
12.45,213718.34937595035
12.5,218328.01582452067
12.55,222499.8306799639
12.6,226217.29257416105
12.65,229464.77368014966
12.7,232227.570641932
12.75,234491.95382466837
12.8,236245.21473845796
12.85,237475.71149196255
12.9,238172.9121356065
12.95,238327.43575793895
13,237931.0912030309
13.05,236976.91328141713
13.1,235459.1963521431
13.15,233373.52515887783
13.2,230716.80280882382
13.25,227487.27578927253
13.3,223684.55592311235
13.35,219309.63917136544
13.4,214364.92119792418
13.45,208854.20961902934
13.5,202782.73286769495
13.55,196157.14561118855
13.6,188985.530667845
13.65,181277.39737784874
13.7,173043.6763912301
13.75,164296.71084504158
13.8,155050.24391065034
13.85,145319.40270109774
13.9,135120.67853769954
13.95,124471.9035843004
14,113392.22386696332
14.05,101902.06870625624
14.1,90023.11659872743
14.15,77778.2575935555
14.2,65191.552219792255
14.25,52288.187028908644
14.3,39094.42682668254
14.35,25637.56367758475
14.4,11945.862773914117
14.45,-1951.4947291911983
14.5,-16024.471802995919
14.55,-30242.23844025493
14.6,-44573.23722943073
14.65,-58985.2514732308
14.7,-73445.47570886352
14.75,-87920.58847987602
14.8,-102376.82720223075
14.85,-116780.06496038624
14.9,-131095.88906263604
14.95,-145289.681178762
15,-159326.69887734673
15.05,-173172.15837465873
15.1,-186791.31830215844
15.15,-200149.56429512604
15.2,-213212.4942009089
15.25,-225946.0037017156
15.3,-238316.37214380124
15.35,-250290.3483623129
15.4,-261835.2362890008
15.45,-272918.98012842727
15.5,-283510.2488873077
15.55,-293578.5200410914
15.6,-303094.1621219754
15.65,-312028.51601309795
15.7,-320353.974734833
15.75,-328044.0615107644
15.8,-335073.5059031835
15.85,-341418.3178107186
15.9,-347055.8591240677
15.95,-351964.9128396444
16,-356125.7494354031
16.05,-359520.1903180252
16.1,-362131.6681561312
16.15,-363945.28392017185
16.2,-364947.86045612
16.25,-365127.9924270815
16.3,-364476.0924643861
16.35,-362984.43337764806
16.4,-360647.1862816353
16.45,-357460.4545065945
16.5,-353422.3031678823
16.55,-348532.78428033466
16.6,-342793.9573128001
16.65,-336209.9050885424
16.7,-328786.74494789
16.75,-320532.6351004311
16.8,-311457.7761052825
16.85,-301574.4074294093
16.9,-290896.7990456959
16.95,-279441.23804431455
17,-267226.01024304563
17.05,-254271.3767943372
17.1,-240599.54579925153
17.15,-226234.63895080483
17.2,-211202.6532416273
17.25,-195531.41778336896
17.3,-179250.54579765737
17.35,-162391.38185087548
17.4,-144986.9444172933
17.45,-127071.86386734227
17.5,-108682.31598989494
17.55,-89855.95116931832
17.6,-70631.81934977333
17.65,-51050.29093074295
17.7,-31152.97374896449
17.75,-10982.626312898496
17.8,9416.932533538024
17.85,30000.917330988403
17.9,50723.672911523834
17.95,71538.77428602672
18,92399.12929662864
18.05,113257.08381026043
18.1,134064.52922115024
18.15,154773.012022576
18.2,175333.84520105692
18.25,195698.2211996692
18.3,215817.32619121388
18.35,235642.45539658403
18.4,255125.12917891788
18.45,274217.20964002976
18.5,292871.0174420454
18.55,311039.4485744056
18.6,328676.09078414587
18.65,345735.3393859171
18.7,362172.51216735505
18.75,377943.9631052829
18.8,393007.19460880506
18.85,407320.96800661366
18.9,420845.4119977906
18.95,433542.1287880667
19,445374.29763684527
19.05,456306.77554441884
19.1,466306.1948135126
19.15,475341.05722476856
19.2,483381.8245718984
19.25,490401.005309035
19.3,496373.23707025615
19.35,501275.3648293521
19.4,505086.51447661663
19.45,507788.1615987877
19.5,509364.19525817054
19.55,509800.97657748836
19.6,509087.39194802335
19.65,507214.9006902097
19.7,504177.5770078931
19.75,499972.1460900376
19.8,494598.01422663615
19.85,488057.2928190414
19.9,480354.81617868616
19.95,471498.1530223909
20,461497.61158690864
20.05,450366.2383001779
20.1,438119.8099617788
20.15,424776.8194003916
20.2,410358.4545914914
20.25,394888.57123417687
20.3,378393.65880170284
20.35,360902.80009615014
20.4,342447.62435349677
20.45,323062.2539612149
20.5,302783.2448663301
20.55,281649.52076761686
20.6,259702.3012012365
20.65,236985.02364461962
20.7,213543.25977860848
20.75,189424.6260630206
20.8,164678.6887954691
20.85,139356.86383785962
20.9,113512.31120900987
20.95,87199.82475565428
21,60475.71712742689
21.05,33397.70029422957
21.1,6024.7618568926055
21.15,-21582.962586199927
21.2,-49364.320742452124
21.25,-77257.27831357621
21.3,-105199.0567743882
21.35,-133126.27393749676
21.4,-160975.08699065118
21.45,-188681.3376854543
21.5,-216180.69934864398
21.55,-243408.82538063233
21.6,-270301.49889994774
21.65,-296794.7831872095
21.7,-322825.1725778862
21.75,-348329.7434496213
21.8,-373246.3049472378
21.85,-397513.5490866748
21.9,-421071.199878125
21.95,-443860.1611085689
22,-465822.6624245533
22.05,-486902.4033577604
22.1,-507044.6949382998
22.15,-526196.5985440713
22.2,-544307.0616387187
22.25,-561327.0500557484
22.3,-577209.6764923648
22.35,-591910.3248832911
22.4,-605386.7703324761
22.45,-617599.2942890037
22.5,-628510.7946627534
22.55,-638086.8905853807
22.6,-646296.0215329791
22.65,-653109.5405383066
22.7,-658501.8012327502
22.75,-662450.2384711241
22.8,-664935.4423060721
22.85,-665941.2250930938
22.9,-665454.6815221213
22.95,-663466.2413870337
23,-659969.714920543
23.05,-654962.3305383842
23.1,-648444.7648537736
23.15,-640421.1648405595
23.2,-630899.1620412898
23.25,-619889.8787346868
23.3,-607407.9259954727
23.35,-593471.3935983548
23.4,-578101.8317369316
23.45,-561324.2245475494
23.5,-543166.9554474585
23.55,-523661.7643160738
23.6,-502843.6965676377
23.65,-480751.0441830848
23.7,-457425.2787883433
23.75,-432910.97688573506
23.8,-407255.73736424686
23.85,-380510.0914336033
23.9,-352727.4051458041
23.95,-323963.77468635817
24,-294277.9146356406
24.05,-263731.0394186184
24.1,-232386.73817864447
24.15,-200310.84332799417
24.2,-167571.2930442023
24.25,-134237.98799731015
24.3,-100382.64260833102
24.35,-66078.63115404212
24.4,-31400.829047254796
24.45,3574.550365022767
24.5,38770.12313036866
24.55,74107.5057798339
24.6,109507.48979889491
24.65,144890.21909237595
24.7,180175.370045816
24.75,215282.33377732502
24.8,250130.40016646628
24.85,284638.943240101
24.9,318727.60748946236
24.95,352316.4946881405
25,385326.3507768696
25.05,417678.75237853907
25.1,449296.29250503675
25.15,480102.7650170439
25.2,510023.3473982687
25.25,538984.7814071196
25.3,566915.551171322
25.35,593746.0582945335
25.4,619408.793548601
25.45,643838.5047307914
25.5,666972.3602718967
25.55,688750.1081888936
25.6,709114.2299844138
25.65,728010.0891050313
25.7,745386.0735809727
25.75,761193.732481412
25.8,775387.9058321025
25.85,787926.8476554247
25.9,798772.3418072957
25.95,807889.8103004603
26,815248.4138196711
26.05,820821.1441509755
26.1,824584.9082648075
26.15,826520.6038107644
26.2,826613.1858007808
26.25,824851.7242769017
26.3,821229.4527799024
26.35,815743.8074556009
26.4,808396.4566567796
26.45,799193.3209201823
26.5,788144.5832199639
26.55,775264.6894212345
26.6,760572.3388799157
26.65,744090.4651579354
26.7,725846.2068457485
26.75,705870.868507365
26.8,684199.8717861947
26.85,660872.6967333575
26.9,635932.8134432157
26.95,609427.6041040862
27,581408.2755950585
27.05,551929.7627826424
27.1,521050.6226934848
27.15,488832.91976170655
27.2,455342.1023712277
27.25,420646.8709349849
27.3,384819.03777393117
27.35,347933.37907918054
27.4,310067.4792606627
27.45,271301.56800487445
27.5,231718.35038311195
27.55,191402.83036929878
27.6,150442.12814391433
27.65,108925.29157676417
27.7,66943.10229696208
27.75,24587.876773083048
27.8,-18046.737159812223
27.85,-60865.967876798895
27.9,-103774.13118207254
27.95,-146674.84469838557
28,-189471.24494515816
28.05,-232066.2066150858
28.1,-274362.56355137454
28.15,-316263.33092155645
28.2,-357671.9280785148
28.25,-398492.40159534744
28.3,-438629.64795786596
28.35,-477989.63539688283
28.4,-516479.6243419531
28.45,-554008.3859790773
28.5,-590486.4183967401
28.55,-625826.1598080551
28.6,-659942.1983410099
28.65,-692751.477894579
28.7,-724173.4995652186
28.75,-754130.5181563464
28.8,-782547.7332925884
28.85,-809353.47467095
28.9,-834479.3809925411
28.95,-857860.572131209
29,-879435.8141090332
29.05,-899147.676463549
29.1,-916942.6816073245
29.15,-932771.4457973588
29.2,-946588.8113496248
29.25,-958353.969752749
29.3,-968030.5753545092
29.35,-975586.8493152729
29.4,-980995.6735437979
29.45,-984234.6743528618
29.5,-985286.2955949191
29.55,-984137.8610614274
29.6,-980781.6259534636
29.65,-975214.8172558529
29.7,-967439.6628720677
29.75,-957463.4094027071
29.8,-945298.3284762014
29.85,-930961.7115666391
29.9,-914475.8532600686
29.95,-895868.0229573277
30,-875170.425028231
30.05,-852420.1474588807
30.1,-827659.0990607374
30.15,-800933.935336995
30.2,-772295.97312849
30.25,-741801.0941880152
30.3,-709509.6378581729
30.35,-675486.2830540229
